Screaming Circuits SMD component position file.

Centroid Data for pc board: "M0_Express_eh_shield.brd" as of: 7/30/19 12:46 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C2,Top,1.636,1.672,270
C4,Top,0.943,1.505,90
C5,Top,0.150,1.470,180
C6,Top,1.220,1.650,90
C7,Top,0.731,0.923,270
C8,Top,0.590,0.720,270
C9,Top,0.110,0.980,90
C10,Top,1.016,1.588,270
C11,Top,0.775,1.500,180
C17,Top,0.110,1.190,270
D1,Top,1.630,1.840,0
D2,Top,1.520,1.080,180
D3,Top,1.520,1.390,180
R1,Top,1.280,1.650,270
R2,Top,1.370,1.730,0
R3,Top,1.470,1.690,90
R4,Top,0.940,1.660,90
R5,Top,0.870,1.660,270
R6,Top,0.561,0.824,0
R7,Top,0.876,1.506,90
U1,Top,0.760,1.640,90
U2,Top,0.440,0.740,180
U3,Top,0.470,1.220,90
U4,Top,1.370,1.610,180
U5,Top,1.108,1.664,0
U6,Top,0.578,1.658,90
X2,Top,0.118,1.084,90
